Metric,Value,Unit,Category
Attack Prevention Rate,80.00,Percentage,Security
Average System Latency,114.03,Milliseconds,Performance
Maximum Throughput,14.73,Transactions per Second,Performance
P95 Latency,135.92,Milliseconds,Performance
P99 Latency,150.51,Milliseconds,Performance
Emergency Access Reliability,0.00,Percentage,Emergency Access
Average Emergency Response Time,0.00,Milliseconds,Emergency Access
Audit Coverage,100.00,Percentage,Audit & Compliance
Audit Integrity Score,100.00,Percentage,Audit & Compliance
Workflow Completion Rate,74.36,Percentage,Healthcare Workflows
Fault Tolerance Score,100.00,Percentage,System Resilience
Fault Recovery Rate,100.00,Percentage,System Resilience
Max Concurrent Users,19,Count,Scalability
Performance Degradation,94.74,Percentage,Scalability
Overall Test Success Rate,83.33,Percentage,Execution
Total Test Duration,5.60,Minutes,Execution
