Metric,Value,Unit,Category
Attack Prevention Rate,95.74,Percentage,Security
Average System Latency,85.36,Milliseconds,Performance
Maximum Throughput,12.90,Transactions per Second,Performance
P95 Latency,0.00,Milliseconds,Performance
P99 Latency,0.00,Milliseconds,Performance
Emergency Access Reliability,100.00,Percentage,Emergency Access
Average Emergency Response Time,153.05,Milliseconds,Emergency Access
Audit Coverage,100.00,Percentage,Audit & Compliance
Audit Integrity Score,100.00,Percentage,Audit & Compliance
Workflow Completion Rate,94.87,Percentage,Healthcare Workflows
Fault Tolerance Score,100.00,Percentage,System Resilience
Fault Recovery Rate,100.00,Percentage,System Resilience
Max Concurrent Users,19,Count,Scalability
Performance Degradation,94.74,Percentage,Scalability
Overall Test Success Rate,83.33,Percentage,Execution
Total Test Duration,8.78,Minutes,Execution
